country,variable,percentile,year,value
AL,sptinc992j,p90p100,2006,0.3161
AL,sptinc992j,p90p100,2007,0.3114
AL,sptinc992j,p90p100,2008,0.3181
AL,sptinc992j,p90p100,2009,0.3178
AL,sptinc992j,p90p100,2010,0.3184
AL,sptinc992j,p90p100,2011,0.2917
AL,sptinc992j,p90p100,2012,0.3216
AL,sptinc992j,p90p100,2013,0.3185
AL,sptinc992j,p90p100,2014,0.3238
AL,sptinc992j,p90p100,2015,0.3282
AL,sptinc992j,p90p100,2016,0.3392
AL,sptinc992j,p90p100,2017,0.3354
AL,sptinc992j,p90p100,2018,0.3289
AL,sptinc992j,p90p100,2019,0.3206
AL,sptinc992j,p90p100,2020,0.3168
AL,sptinc992j,p90p100,2021,0.3204
AL,sptinc992j,p90p100,2022,0.3214
AM,sptinc992j,p90p100,2000,0.4309
AM,sptinc992j,p90p100,2001,0.4231
AM,sptinc992j,p90p100,2002,0.4291
AM,sptinc992j,p90p100,2003,0.4255
AM,sptinc992j,p90p100,2004,0.4567
AM,sptinc992j,p90p100,2005,0.45
AM,sptinc992j,p90p100,2006,0.3777
AM,sptinc992j,p90p100,2007,0.3841
AM,sptinc992j,p90p100,2008,0.3696
AM,sptinc992j,p90p100,2009,0.3637
AM,sptinc992j,p90p100,2010,0.3912
AM,sptinc992j,p90p100,2011,0.3729
AM,sptinc992j,p90p100,2012,0.377
AM,sptinc992j,p90p100,2013,0.3799
AM,sptinc992j,p90p100,2014,0.3916
AM,sptinc992j,p90p100,2015,0.4056
AM,sptinc992j,p90p100,2016,0.3983
AM,sptinc992j,p90p100,2017,0.435
AM,sptinc992j,p90p100,2018,0.4374
AM,sptinc992j,p90p100,2019,0.396
AM,sptinc992j,p90p100,2020,0.396
AM,sptinc992j,p90p100,2021,0.4677
AM,sptinc992j,p90p100,2022,0.4677
AO,sptinc992j,p90p100,2000,0.5803
AO,sptinc992j,p90p100,2001,0.5695
AO,sptinc992j,p90p100,2002,0.5587
AO,sptinc992j,p90p100,2003,0.5478
AO,sptinc992j,p90p100,2004,0.5369
AO,sptinc992j,p90p100,2005,0.526
AO,sptinc992j,p90p100,2006,0.5151
AO,sptinc992j,p90p100,2007,0.5041
AO,sptinc992j,p90p100,2008,0.4932
AO,sptinc992j,p90p100,2009,0.5019
AO,sptinc992j,p90p100,2010,0.5106
AO,sptinc992j,p90p100,2011,0.5193
AO,sptinc992j,p90p100,2012,0.528
AO,sptinc992j,p90p100,2013,0.5367
AO,sptinc992j,p90p100,2014,0.5454
AO,sptinc992j,p90p100,2015,0.5541
AO,sptinc992j,p90p100,2016,0.5628
AO,sptinc992j,p90p100,2017,0.5714
AO,sptinc992j,p90p100,2018,0.5801
AO,sptinc992j,p90p100,2019,0.5801
AO,sptinc992j,p90p100,2020,0.5801
AO,sptinc992j,p90p100,2021,0.5801
AO,sptinc992j,p90p100,2022,0.5801
AR,sptinc992j,p90p100,2000,0.4958
AR,sptinc992j,p90p100,2001,0.5098
AR,sptinc992j,p90p100,2002,0.5198
AR,sptinc992j,p90p100,2003,0.4846
AR,sptinc992j,p90p100,2004,0.4664
AR,sptinc992j,p90p100,2005,0.45
AR,sptinc992j,p90p100,2006,0.4381
AR,sptinc992j,p90p100,2007,0.4576
AR,sptinc992j,p90p100,2008,0.4592
AR,sptinc992j,p90p100,2009,0.427
AR,sptinc992j,p90p100,2010,0.4398
AR,sptinc992j,p90p100,2011,0.4244
AR,sptinc992j,p90p100,2012,0.3937
AR,sptinc992j,p90p100,2013,0.4039
AR,sptinc992j,p90p100,2014,0.4052
AR,sptinc992j,p90p100,2015,0.4297
AR,sptinc992j,p90p100,2016,0.4563
AR,sptinc992j,p90p100,2017,0.43120000000000003
AR,sptinc992j,p90p100,2018,0.4356
AR,sptinc992j,p90p100,2019,0.4639
AR,sptinc992j,p90p100,2020,0.4621
AR,sptinc992j,p90p100,2021,0.4391
AR,sptinc992j,p90p100,2022,0.4391
AR,sptinc999j,p90p100,2015,0.4152
AR,sptinc999j,p90p100,2020,0.4805
AT,sptinc992j,p90p100,2000,0.3491
AT,sptinc992j,p90p100,2001,0.3425
AT,sptinc992j,p90p100,2002,0.3483
AT,sptinc992j,p90p100,2003,0.3614
AT,sptinc992j,p90p100,2004,0.3414
